"ti"	"ti_anc"	"terminal_flag"	"rank_flag"	"model"	"taxon_name"	"common_name"	"rank"	"n_gi_node"	"n_gi_sub_nonmodel"	"n_gi_sub_model"	"n_clust_node"	"n_clust_sub"	"n_PIclust_sub"	"n_sp_desc"	"n_sp_model"	"n_leaf_desc"	"n_otu_desc"	"ti_genus"	"n_genera"
33562	33561	NA	1	NA	"Dromiciops australis"	"monito del monte"	"species"	196	196	0	NA	NA	NA	1	0	1	1	33561	0
33561	30660	NA	1	NA	"Dromiciops"	NA	"genus"	0	196	0	NA	NA	NA	1	0	1	2	33561	0
30660	38607	NA	1	NA	"Microbiotheriidae"	"Monito del Monte"	"family"	0	196	0	NA	NA	NA	1	0	1	3	NA	1
38607	9263	NA	1	NA	"Microbiotheria"	NA	"order"	0	196	0	NA	NA	NA	1	0	1	4	NA	1
1092587	1092586	NA	1	NA	"Mammalia environmental sample"	NA	"species"	254	254	0	NA	NA	NA	1	0	1	1	40674	0
1092586	40674	NA	0	NA	"environmental samples"	NA	"no rank"	0	254	0	NA	NA	NA	1	0	1	2	NA	0
1002698	1002697	NA	1	NA	"Mammalia sp. AVB-2011"	NA	"species"	4	4	0	NA	NA	NA	1	0	1	1	40674	0
1131344	1002697	NA	1	NA	"Homo sapiens x Mus musculus hybrid cell line"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	40674	0
1383439	1002697	NA	1	NA	"Homo sapiens/Mus musculus xenograft"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	40674	0
1573476	1002697	NA	1	NA	"Homo sapiens/Rattus norvegicus xenograft"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	40674	0
1002697	40674	NA	0	NA	"unclassified Mammalia"	NA	"no rank"	0	5	0	NA	NA	NA	4	0	4	5	NA	0
1563127	1563126	NA	1	NA	"Macrauchenia sp. FW-2014"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	1563126	0
1566623	1563126	NA	1	NA	"Macrauchenia patachonica"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	1563126	0
1970152	1563126	NA	1	NA	"Macrauchenia sp. MW-2017"	NA	"species"	1	1	0	NA	NA	NA	1	0	1	1	1563126	0
1563126	1563125	NA	1	NA	"Macrauchenia"	NA	"genus"	0	1	0	NA	NA	NA	3	0	3	4	1563126	0
1563125	1563124	NA	1	NA	"Macraucheniidae"	NA	"family"	0	1	0	NA	NA	NA	3	0	3	5	NA	1
1563124	9347	NA	1	NA	"Litopterna"	NA	"order"	0	1	0	NA	NA	NA	3	0	3	6	NA	1
33559	33558	NA	1	NA	"Chilean shrew opossum"	"Chilean shrew opossum"	"species"	55	55	0	NA	NA	NA	1	0	1	1	33558	0
33558	30659	NA	1	NA	"Chilean shrew opossums"	"Chilean shrew opossums"	"genus"	0	55	0	NA	NA	NA	1	0	1	2	33558	0
37696	37886	NA	1	NA	"Caenolestes fulginosus"	"silky shrew opossum"	"species"	73	73	0	NA	NA	NA	1	0	1	1	37886	0
473861	37886	NA	1	NA	"Caenolestes caniventer"	"Gray-bellied caenolestid"	"species"	2	2	0	NA	NA	NA	1	0	1	1	37886	0
1408241	37886	NA	1	NA	"Caenolestes sangay"	"Sangay shrew opossum"	"species"	2	2	0	NA	NA	NA	1	0	1	1	37886	0
1408244	37886	NA	1	NA	"Caenolestes convelatus"	"northern shew opossum"	"species"	1	1	0	NA	NA	NA	1	0	1	1	37886	0
37886	30659	NA	1	NA	"Caenolestes"	"common shrew-opossums"	"genus"	0	78	0	NA	NA	NA	4	0	4	5	37886	0
42731	42730	NA	1	NA	"Incan shrew opossum"	"Incan shrew opossum"	"species"	3	3	0	NA	NA	NA	1	0	1	1	42730	0
42730	30659	NA	1	NA	"Lestoros"	NA	"genus"	0	3	0	NA	NA	NA	1	0	1	2	42730	0
30659	38606	NA	1	NA	"Caenolestidae"	"shrew opossums"	"family"	0	136	0	NA	NA	NA	6	0	6	10	NA	3
38606	9263	NA	1	NA	"Paucituberculata"	NA	"order"	0	136	0	NA	NA	NA	6	0	6	11	NA	3
1563122	1563121	NA	1	NA	"Toxodon sp. FW-2014"	NA	"species"	0	0	0	NA	NA	NA	1	0	1	1	1563121	0
